bad.name,good.name
Gentiana bomiensis,Gentiana aquatica
Gentiana burkillii,Gentiana aquatica
Gentiana burmensis,Gentiana grata
Gentiana complexa,Gentiana flexicaulis
Gentiana conduplicata,Gentiana clarkei
Gentiana crenulatotruncata,Gentiana prostrata
Gentiana curvianthera,Gentiana choanantha
Gentiana curviphylla,Gentiana crassuloides
Gentiana daochengensis,Gentiana riparia
Gentiana delicata,Gentiana rubicunda
Gentiana dolichocalyx,Gentiana helophila
Gentiana epichysantha,Gentiana panthaica
Gentiana erectosepala,Gentiana handeliana
Gentiana filisepala,Gentiana rubicunda
Gentiana globosa,Gentiana albicalyx
Gentiana itzershanensis,Gentiana scabrida
Gentiana kunmingensis,Gentiana maeulchanensis
Gentiana lacinulata,Gentiana muscicola
Gentiana leucantha,Gentiana decorata
Gentiana ludingensis,Gentiana pseudosquarrosa
Gentiana mailingensis,Gentiana crassuloides
Gentiana napulifera,Gentiana loureiroi
Gentiana ninglangensis,Gentiana pubigera
Gentiana nyingchiensis,Gentiana crassuloides
Gentiana omeiensis,Gentiana microdonta
Gentiana phyllopoda,Gentiana microdonta
Gentiana prainii,Gentiana recurvata
Gentiana pseudoaquatica,Gentiana aquatica
Gentiana purdomii,Gentiana algida
Gentiana rigescens,Gentiana crassa
Gentiana scabrifilamenta,Gentiana alsinoides
Gentiana scytophylla,Gentiana albomarginata
Gentiana sichitoensis,Gentiana otophora
Gentiana striolata,Gentiana wilsonii
Gentiana subintricata,Gentiana intricata
Gentiana subuniflora,Gentiana chungtienensis
Gentiana syringea,Gentiana tricolor
Gentiana tatakensis,Gentiana flavomaculata
Gentiana tentyoensis,Gentiana zollingeri
Gentiana tenuicaulis,Gentiana walujewii
Gentiana wissmannii,Gentiana wingecarribiensis
Gentiana xingrenensis,Gentiana pedata
Gentiana yiliangensis,Gentiana vandellioides
Gentianella acuta,Gentianella amarella
Gentianella boliviana,Gentianella peruviana
Gentianella inaequicalyx,Gentianella silenoides
Geonoma oxycarpa,Geonoma pinnatifrons
Geranium charlesii,Geranium kotschyi
Gigasiphon schlechteri,Bauhinia ampla
Glochidion arborescens,Glochidion zeylanicum
Glochidion hirsutum,Glochidion zeylanicum
Glycosmis craibii,Glycosmis puberula
Glycosmis longifolia,Glycosmis cyanocarpa
Gouania adenophera,Gouania frangulifolia
Goyazia villosa,Gloxinia villosa
Grevillea bleasdalei,Gevuina bleasdalei
Grewia olukondae,Grewia flavescens
Grusonia pulchella,Micropuntia pulchella
Guettarda burchellii,Guettarda pohliana
Gymnadenia intermedia,Gymnadenia densiflora
Gymnema indicum,Gymnema montanum
Gymnocalycium angelae,Gymnocalycium denudatum
Gymnocalycium borthii,Gymnocalycium gibbosum
Gymnocalycium buenekeri,Gymnocalycium horstii
Gymnocalycium carmianthum,Gymnocalycium oenanthemum
Gymnocalycium delaetii,Gymnocalycium schickendantzii
Gymnocalycium netrelianum,Gymnocalycium hyptiacanthum
Gymnocalycium uruguayense,Gymnocalycium hyptiacanthum
Gymnopetalum conchinchinense,Gymnopetalum chinense
Gypsophila montana,Saponaria montana
Habenaria caffra,Habenaria falcicornis
Harrimanella stelleriana,Cassiope stelleriana
Harrisia brookii,Cereus brookii
Harrisia nashii,Cereus nashii
Harrisia portoricensis,Cereus portoricensis
Harrisia taylori,Cereus taylorii
Haworthia leightonii,Haworthia cooperi
Hedyosmum calloso-serratum,Hedyosmum bonplandianum
Helianthemum canum,Helianthemum oelandicum
Heliocereus amecamensis,Heliocereus speciosus
Heliocereus luzmariae,Heliocereus schrankii
Heliotropium hereroense,Euploca rariflora
Henriettea longifolia,Henriettea martiusii
Hernandia voyroni,Hazomalania voyronii
Herniaria cinerea,Herniaria hirsuta
Heteropsis ovata,Monstera adansonii
Heteropsis surinamensis,Monstera adansonii
Hevea lutea,Hevea guianensis
Hieracium praealtum,Pilosella piloselloides
Hieracium tridentatum,Hieracium laevigatum
Hieronyma laxifolia,Hieronyma alchorneoides
Hippocratea africanna,Loeseneriella africana
Hippocratea guineensis,Loeseneriella apocynoides
Hippocratea obtusifolia,Loeseneriella africana
Hippocratea volkensii,Pristimera andongensis
Hiptage obtusifolia,Hiptage bengalensis
Hirtella caudata,Hirtella bicornis
Holboellia fargesi,Holboellia angustifolia
Holcus sudanensis,Sorghum drummondii
Holosteum glutinosum,Holosteum umbellatum
Holothrix condensata,Holothrix villosa
Homalomena minor,Homalomena humilis
Hordeum glaucum,Hordeum murinum
Hordeum leporinum,Hordeum murinum
Horsfieldia pandurifolia,Endocomia macrocoma
Horsfieldia prainii,Endocomia macrocoma
Hoya bella,Hoya lanceolata
Hugonia mystax,Hugonia serrata
Hybanthus monopetalus,Hybanthus monoepetalus
Hygrophila quadrivalvis,Hygrophila ringens
Hygrophila salicifolia,Hygrophila ringens
Hylotelephium caucasicum,Sedum maximum
Hymenaea stilbocarpa,Hymenaea courbaril
Hypochaeris barbata,Hypochaeris sessiliflora
Hypochaeris sonchoides,Hypochaeris sessiliflora
Hypochaeris stuebelii,Hypochaeris sessiliflora
Ilex platyphylla,Ilex perado
Illicium oligandrum,Illicium parvifolium
Illigera coryzadenia,Illigera trifoliata
Inga aestuariorum,Inga multijuga
Inga grandijlora,Inga crassiflora
Inga lomatophylla,Inga amazonica
Ipomoea calodendron,Ipomoea wolcottiana
Ipomoea companulata,Stictocardia tiliifolia
Ipomoea peckoltii,Ipomoea oocarpa
Ipomoea velutipes,Ipomoea chrysochaetia
Isoetes stephansenii,Isoetes capensis
Isolepis platycarpa,Isolepis cernua
Isolepis setiformis,Isolepis cernua
Ixia bellendenii,Ixia longituba
Ixia parva,Sparaxis grandiflora
Ixia ramulosa,Ixia latifolia
Ixora klanderana,Ixora timorensis
Jacaranda rhombifolia,Jacaranda obtusifolia
Jacquinia pungens,Bonellia macrocarpa
Jasminum funale,Jasminum simplicifolium
Jasminum nitidum,Jasminum laurifolium
Jasminum sessiliforum,Jasminum angustifolium
Juncus andicola,Juncus balticus
Juncus kern-reichgeltii,Juncus brueggeri
Juncus kotschyi,Juncus fontanesii
Juncus mexicanus,Juncus balticus
Juniperus macropoda,Juniperus polycarpos
Juniperus silicicola,Juniperus virginiana
Kalanchoe luciae,Kalanchoe luciae
Kedrostis courtallensis,Cayaponia laciniosa
Knema angustifolia,Knema cinerea
Koelreuteria henryi,Koelreuteria elegans
Kyllinga elatior,Kyllinga polyphylla
Kyllinga welwitschii,Kyllinga tenuifolia
Lachenalia flava,Lachenalia aloides
Lachenalia quadricolor,Lachenalia aloides
Lachenalia schlechteri,Lachenalia unifolia
Lachenalia sessiliflora,Lachenalia orchioides
Lachenalia wrightii,Lachenalia unifolia
Larix himalaica,Larix potaninii
Larix olgensis,Larix gmelinii
Larix rossica,Larix sibirica
Larix speciosa,Larix griffithii
Lasiurus hirsutus,Triticum aegilopoides
Lemna polyrhiza,Spirodela polyrrhiza
Lens orientalis,Lens culinaris
Leonotis intermedia,Leonotis ocymifolia
Leonotis randii,Leonotis ocymifolia
Leonotis schinzii,Leonotis ocymifolia
Leptochloa uninervia,Leptochloa fusca
Lespedeza cuneata,Lespedeza juncea
Lessingia glandulifera,Lessingia germanorum
Lessingia lemmonii,Lessingia glandulifera
Leucopogon hookeri,Acrothamnus hookeri
Leucopogon maccraei,Acrothamnus maccraei
Litsea faberi,Litsea elongata
Lonicera chlamydata,Lonicera saccata
Lonicera emphyllocalyx,Lonicera venulosa
Lonicera morrowii,Lonicera tatarica
Lonicera myrtillus,Lonicera angustifolia
Madhuca indica,Madhuca longifolia
Madhuca latifolia,Madhuca longifolia
Magnolia ashei,Magnolia macrophylla
Magnolia candollii,Magnolia liliifera
Magnolia glaucifolia,Magnolia conifera
Magnolia pyramidata,Magnolia fraseri
Mahonia leschenaultii,Berberis leschenaultii
Mahonia pinnata,Berberis pinnata
Maihueniopsis clacarioides,Puna clavarioides
Mammillaria angelensis,Mammillaria dioica
Mammillaria brachytrichion,Mammillaria pennispinosa
Mammillaria estebanensis,Mammillaria dioica
Mammillaria flavecentra,Mammillaria dixanthocentron
Mammillaria fraileana,Mammillaria albicans
Mammillaria limonensis,Mammillaria fittkaui
Mammillaria muehlenpfordtii,Cactus muehlenpfordtii
Mammillaria zublerae,Mammillaria prolifera
Manihot glaziovii,Manihot carthaginensis
Manilkara amazonica,Manilkara bidentata
Manilkara bahamensis,Manilkara jaimiqui
Manilkara nitida,Manilkara bidentata
Manilkara surinamensis,Manilkara bidentata
Manilkara tampolensis,Manilkara boivinii
Maquira costaricana,Maquira guianensis
Marsdenia barbata,Gymnema barbatum
Mascagnia hippocratioides,Adelphia hiraea
Mastixia caudatifolia,Mastixia rostrata
Mastixia philippinensis,Mastixia pentandra
Matelea mediocris,Matelea squiresii
Matthiola bicornis,Matthiola longipetala
Maxillaria suarezorum,Mormolyca suareziorum
Melaleuca corrugata,Melaleuca fulgens
Melanthera albinervia,Melanthera pungens
Melocactus perezassoi,Melocactus harlowii
Melodinus novo-guineensis,Melodinus australis
Mesechites sanctaecrucis,Mesechites trifidus
Metastelma anegadense,Cynanchum anegadense
Metastelma monense,Cynanchum monense
Michelia crassipes,Magnolia figo
Michelia elegans,Magnolia elegantifolia
Michelia martinii,Magnolia martini
Michelia pilifera,Magnolia champaca
Michelia skinneriana,Magnolia figo
Miconia furfurcea,Acinodendron furfuraceum
Miconia mendoncae,Acinodendron mendoncaei
Miconia mourae,Acinodendron mouraei
Miconia trianae,Acinodendron trianae
Micrechites elliptica,Micrechites polyanthus
Mikania trachypleura,Mikania ypacarayensis
Miltonia peetersiana,Miltonia bluntii
Mimosa candollei,Mimosa quadrivalvis
Mimosa recordi,Mimosa watsonii
Miscanthus lutarioriparius,Miscanthus sacchariflorus
Monocarpia marginalis,Cyathocalyx maingayi
Monochoria elata,Monochoria hastata
Monstera blanchetii,Monstera adansonii
Montia minor,Montia fontana
Mucuna collettii,Mucuna macrocarpa
Mucuna utilis,Mucuna pruriens
Myosotis caespitosa,Myosotis laxa
Najas intermedia,Najas marina
Najas muenscheri,Najas guadalupensis
Neogaerrhinum strictum,Asarina stricta
Nepeta paulsenii,Nepeta podostachys
Neslia apiculata,Neslia paniculata
Nicotiana rotundifolia,Nicotiana suaveolens
Nothofagus truncata,Nothofagus fusca
Nymphaea caerulea,Nymphaea nouchali
Nymphaea pygmea,Nymphaea tetragona
Nymphaea tuberosa,Nymphaea odorata
Nyssa biflora,Nyssa sylvatica
Odontoglossum auro-purpureum,Cyrtochilum auropurpureum
Odontoglossum coradinei,Oncidium coradinei
Olea aucheri,Olea europaea
Ononis antiquorum,Ononis spinosa
Ononis arvensis,Ononis spinosa
Ononis repens,Ononis spinosa
Ophioglossum gomezianum,Ophioglossum nudicaule
Ophioglossum gramineum,Ophioglossum lusitanicum
Opilia celridifolia,Opilia amentacea
Opuntia cardiosperma,Opuntia elata
Opuntia lindheimeri,Opuntia engelmannii
Opuntia linguiformis,Opuntia engelmannii
Opuntia rufida,Opuntia microdasys
Opuntia tenuispina,Opuntia macrorhiza
Opuntia wootonii,Opuntia phaeacantha
Orchis prisca,Orchis spitzelii
Oreomyrrhis argentea,Chaerophyllum argenteum
Oreomyrrhis brevipes,Chaerophyllum brevipes
Oreomyrrhis ciliata,Chaerophyllum australianum
Oreomyrrhis eriopoda,Chaerophyllum eriopodum
Oreomyrrhis pulvinifica,Chaerophyllum pulvinificum
Ornithogalum longebracteatum,Albuca bracteata
Orostachys stenostachya,Kungia schoenlandii
Orthilia obtusata,Orthilia secunda
Oryzopsis lessoniana,Agrostis lessoniana
Ostodes katharinae,Ostodes paniculata
Oxalis corymbosa,Oxalis debilis
Oxystelma alpini,Oxystelma esculentum
Pachypodium bicolor,Pachypodium rosulatum
Pachypodium cactipes,Pachypodium rosulatum
Pachypodium gracilius,Pachypodium rosulatum
Pachypodium makayense,Pachypodium rosulatum
Packera moresbiensis,Packera subnuda
Panicum crusgalli,Echinochloa crus-galli
Panicum firmulum,Setaria reverchonii
Panicum makarikariense,Panicum coloratum
Panicum ramisetum,Setaria reverchonii
Panicum reverchoni,Setaria reverchonii
Papaver setigerum,Papaver somniferum
Paphiopedilum richardianum,Paphiopedilum lowii
Paradavallodes membranulosa,Davallodes membranulosum
Parinari asperula,Atuna racemosa
Parinari rubiginosa,Parinari costata
Parinari villamilii,Atuna racemosa
Parodia formosa,Parodia microsperma
Parodia saint-pieana,Parodia microsperma
Passiflora aurantia,Blephistelma aurantia
Passiflora herbertiana,Disemma herbertiana
Passiflora leschenaultii,Decaloba leschenaultii
Patersonia longifolia,Patersonia sericea
Peltogyne pubescens,Peltogyne paniculata
Peltophorum tonkinense,Peltophorum dasyrrhachis
Pentacalia parasitic,Pentacalia wilburii
Pentapanax racemosa,Aralia gigantea
Peperomia menkeana,Peperomia galioides
Periploca angustifolia,Periploca laevigata
Perrottetia arborescens,Perrottetia alpestris
Persea kusanoi,Machilus japonica
Persea velutina,Ocotea calophylla
Persicaria lanata,Polygonum lapathifolium
Phaseolus polyanthus,Phaseolus coccineus
Phoradendron emarginatum,Phoradendron mucronatum
Physocarpus intermedius,Physocarpus opulifolius
Picea balfouriana,Picea likiangensis
Picea montigena,Picea likiangensis
Picea tianschanica,Picea schrenkiana
Picramnia quaternaria,Picramnia antidesma
Pinus bahamensis,Pinus caribaea
Pinus chiapensis,Pinus strobus
Pinus chihuahuana,Pinus leiophylla
Pinus discolor,Pinus cembroides
Pinus insularis,Pinus kesiya
Pinus laricio,Pinus pinaster
Pistacia integerrima,Pistacia chinensis
Pisum elatius,Pisum sativum
Pithecellobium caraboboense,Chloroleucon mangense
Pithecellobium ligustricum,Zygia longifolia
Pittosporum colensoi,Pittosporum tenuifolium
Pittosporum formosanum,Pittosporum pentandrum
Pittosporum salicifolium,Pittosporum polyspermum
Pityopsis aspera,Pityopsis aspera
Platanthera kuenkelei,Platanthera bifolia
Platanus hybrida,Platanus hispanica
Platea kinabaluensis,Platea excelsa
Platea montana,Platea excelsa
Pleurothallis bulbosa,Pleurothallopsis tubulosa
Pleurothallis jamesonii,Stelis jamiesonii
Pleurothallis picia,Acianthera pubescens
Pleurothallis sertularoides,Anathallis sertularioides
Podotheca angustifolia,Podosperma angustifolium
Polycardia ilicifolia,Polycardia aquifolium
Polygonum prostratum,Polygonum aviculare
Polypogon minutiflorus,Polypogon griquensis
Polystachya aconitiflora,Polystachya vulcanica
Polystachya tessallata,Polystachya concreta
Popowia oliverana,Monanthotaxis parvifolia
Populus curamericana,Populus canadensis
Populus davidiana,Populus tremula
Populus gileadensis,Populus candicans
Populus monilifera,Populus deltoides
Populus robusta,Populus canadensis
Populus sargentii,Populus deltoides
Populus sieboldii,Populus tremula
Porophyllum platyphyllum,Porophyllum oppositifolium
Potamogeton vaginans,Potamogeton lucens
Potentilla arbuscula,Potentilla fruticosa
Potentilla salesoviana,Comarum salesovianum
Poupartia amazonica,Antrocaryon amazonicum
Pourouma apiculata,Pourouma tomentosa
Pouteria cooperi,Pouteria torta
Pouteria cuprea,Pouteria glomerata
Pouteria dasystyla,Pouteria venosa
Pouteria echinocarpa,Pouteria torta
Pouteria gutta,Pouteria torta
Pouteria jenmanii,Pouteria torta
Pouteria neglecta,Pouteria torta
Pouteria wurdackii,Pouteria torta
Pouzolzia wightii,Pouzolzia pentandra
Premna villosa,Premna coriacea
Prestoea montana,Prestoea acuminata
Prostanthera euphrasioides,Prostanthera cryptandroides
Protium crassifolium,Protium giganteum
Prunus insititia,Prunus domestica
Pseudognaphalium elegans,Gnaphalium elegans
Pseudognaphalium luteo-album,Laphangium luteoalbum
Psidium pohlianum,Psidium salutare
Pterocarya delavayi,Pterocarya macroptera
Pterocarya insignis,Pterocarya macroptera
Pterygodium cleistogamum,Pterygodium newdigatae
Pueraria lobata,Pueraria montana
Pueraria thomsoni,Pueraria montana
Pueraria thunbergiana,Pueraria montana
Pulicaria paludosa,Pulicaria arabica
Pultenaea cinerascens,Pultenaea microphylla
Pycreus albo-marginatus,Pycreus macrostachyos
Pycreus rehmannianus,Pycreus flavescens
Pyrrosia heteractis,Pyrrosia lingua
Pyrrosia stenophylla,Pyrrosia porosa
Pyrrosia tonkinensis,Pyrrosia porosa
Quaqua arenicola,Quaqua armata
Quaqua aurea,Quaqua incarnata
Quaqua bayeriana,Quaqua parviflora
Quaqua cincta,Quaqua inversa
Quaqua pulchra,Quaqua parviflora
Quercus beadlei,Quercus saulii
Quercus boissieri,Quercus infectoria
Quercus breviloba,Quercus sinuata
Quercus calvescens,Quercus streimii
Quercus crispula,Quercus mongolica
Quercus pauciloba,Quercus undulata
Quercus pedunculiflora,Quercus robur
Quercus polycarpa,Quercus petraea
Quercus yunnanensis,Quercus dentata
Raphanus sativus,Raphanus raphanistrum
Rebutia wessneriana,Rebutia minuscula
Rhagodia candolleana,Rhagodia baccata
Rhagodia linifolia,Einadia nutans
Rhamnus fallax,Rhamnus alpina
Rhamnus tomentella,Frangula californica
Rhaphiolepis integerrima,Rhaphiolepis indica
Rhaphiolepis umbellata,Rhaphiolepis indica
Rhododendron groenlandicum,Ledum palustre
Rhynchelytrum villosum,Melinis repens
Rhynchospora brownii,Rhynchospora rugosa
Rhynchospora pura,Rhynchospora nervosa
Ribes gayana,Ribes trilobum
Rosa vosagiaca,Rosa caesia
Rosularia modesta,Rosularia modesta
Roupala brasiliensis,Roupala montana
Rubus coriaceus,Rubus lippaianus
Salacia camerunensis,Salacia longipes
Salicornia pachystachya,Arthrocnemum pachystachyum
Salix canariensis,Salix pedicellata
Salix cuspidata,Salix meyeriana
Salix glaucosericea,Salix glauca
Salix hindsiana,Salix exigua
Salix pet-susu,Salix schwerinii
Salix pseudo-safsaf,Salix acmophylla
Salix richardsonii,Salix lanata
Salix sepulchralis,Salix salamonii
Salix sepulcralis,Salix salamonii
Salix viridis,Salix fragilis
Salsola tragus,Salsola kali
Sarcococca hookeriana,Sarcococca pruniformis
Sarcococca saligna,Sarcococca pruniformis
Sarcostemma brunonianum,Sarcostemma viminale
Saribus papuanus,Livistona papuana
Saussurea viscida,Saussurea angustifolia
Schkuhria anthemoidea,Schkuhria pinnata
Schoenoplectus subulatus,Schoenoplectus litoralis
Schoenus intermedius,Schoenus scheuchzeri
Scirpoides thunbergii,Scirpoides holoschoenus
Scirpus paludosus,Bolboschoenus maritimus
Scirpus platycarpus,Isolepis cernua
Sclerocactus uncinatus,Glandulicactus uncinatus
Sclerocarya caffra,Sclerocarya birrea
Sebaea capitata,Sebaea capitata
Sedum berillonianum,Villadia berillonana
Sedum gattefossei,Aichryson gattefossei
Sedum surrculosum,Monanthes atlantica
Sedum wilczekianum,Sedum hirsutum
Senecio anacampserotis,Senecio spathulatus
Senecio culcitioides,Senecio comosus
Senecio myricifolius,Senecio alleizettei
Senecio noeanus,Senecio glaucus
Senecio pulviniformis,Senecio humillimus
Senecio rupestris,Senecio squalidus
Senecio sandemannii,Dendrophorbium multinerve
Senecio vernalis,Senecio leucanthemifolius
Serjania nessites,Serjania mexicana
Sesbania rogersii,Sesbania tetraptera
Shorea philippinensis,Shorea assamica
Shuteria bracteosa,Amphicarpaea ferruginea
Sicyos semitonsus,Cladocarpa semitonsa
Sida alnifolia,Sida rhombifolia
Silene longicarpophora,Gastrolychnis longicarpophora
Silphium gracile,Silphium radula
Silphium pinnatifidum,Silphium terebinthinaceum
Silphium simpsonii,Silphium asteriscus
Smilax krausiana,Smilax anceps
Smilax longebracteolata,Smilax elegans
Solanum fecundum,Solanum aturense
Solanum obliquum,Cyphomandra obliqua
Solanum pendulum,Cyphomandra pendula
Solanum piceum,Solanum demissum
Solidago deamii,Solidago simplex
Solidago flaccidifolia,Solidago curtisii
Solidago gracillima,Solidago stricta
Sorghum sudanense,Sorghum drummondii
Sparrmannia subpalmata,Sparrmannia ricinocarpa
Sphedamnocarpus galphimiifolius,Sphedamnocarpus pruriens
Sphenodesme paniculata,Sphenodesme involucrata
Spiraea corymbosa,Spiraea betulifolia
Spiraea lucida,Spiraea betulifolia
Spondias haplophylla,Haplospondias haplophylla
Spyridium subochreatum,Cryptandra subochreata
Stachys tuberifera,Stachys sieboldii
Staudtia gabonensis,Staudtia kamerunensis
Staudtia stipitata,Staudtia kamerunensis
Stelis caveata,Stelis cuencana
Stelis pilulosa,Stelis atroviolacea
Stellaria cupaniana,Stellaria media
Stenorrhynchos bracteosus,Coccineorchis bracteosa
Stevia bangii,Stevia tarijensis
Stewartia koreana,Stewartia pseudocamellia
Stillingia pacifica,Stillingia lineata
Stipa extremiorientale,Stipa pekinensis
Stizolobium pruriens,Mucuna pruriens
Stoebe intricata,Myrovernix intricata
Stoebe saxatilis,Seriphium saxatilis
Stoebe spiralis,Seriphium spirale
Strobilanthes luridus,Strobilanthes lurida
Strychnos pandensis,Strychnos lucens
Styphelia angustifolia,Styphelia laeta
Swietenia mahogonii,Swietenia mahagoni
Symphyotrichum bahamense,Symphyotrichum subulatum
Symphyotrichum divaricatum,Symphyotrichum subulatum
Symplocos laurina,Symplocos cochinchinensis
Symplocos munda,Symplocos montana
Symplocos spicata,Symplocos cochinchinensis
Syringa pekinensis,Syringa reticulata
Tachia orientalis,Tachia grandifolia
Talauma hodgsoni,Magnolia hodgsonii
Talisia intermedia,Melicoccus oliviformis
Tamarix ispahanica,Tamarix szovitsiana
Tamarix macrocarpa,Tamarix passerinoides
Tasmannia insipida,Drimys insipida
Taxodium ascendens,Taxodium distichum
Teijsmanniodendron kostermansi,Teijsmanniodendron bogoriense
Tetracera dinklagei,Tetracera alnifolia
Thelesperma ambiguum,Thelesperma megapotamicum
Thelocactus garciae,Thelocactus conothelos
Therorhodion glandulosum,Rhododendron camtschaticum
Thesium crassifolium,Thesium frisea
Thiloa paraguarensis,Combretum paraguariense
Thlaspi calaminare,Thlaspi caerulescens
Tilia heterophylla,Tilia americana
Tilia vulgaris,Tilia europaea
Tillandsia hieronymi,Tillandsia capillaris
Tillandsia permutata,Tillandsia capillaris
Tillandsia virescens,Tillandsia capillaris
Tontelea fluminensis,Tontelea ovalifolia
Tontelea richardii,Tontelea ovalifolia
Torreya fargesii,Torreya grandis
Trachypogon gouini,Trachypogon spicatus
Trachypogon montufari,Trachypogon spicatus
Trapa bispinosa,Trapa natans
Treculia lamiana,Treculia africana
Treculia madagascarica,Treculia africana
Treculia perrieri,Treculia africana
Treculia sambiranensis,Treculia africana
Tricalysia junodii,Empogona kirkii
Tridens grandiflorus,Erioneuron avenaceum
Trifolium peruvianum,Trifolium amabile
Trigonella uncata,Trigonella glabra
Triodanis biflora,Triodanis perfoliata
Trisetum pennsylvanicum,Sphenopholis pensylvanica
Triticum dicoccum,Triticum dicoccon
Triuris mycoides,Peltophyllum luteum
Trixis neaeana,Trixis cacalioides
Trixis subparadoxa,Trixis cacalioides
Tulipa anadroma,Tulipa tschimganica
Tulipa foliosa,Tulipa armena
Turbinicarpus bonatzii,Turbinicarpus schmiedickeanus
Turbinicarpus knuthianus,Turbinicarpus saueri
Turbinicarpus pailanus,Turbinicarpus beguinii
Turbinicarpus rioverdensis,Turbinicarpus schmiedickeanus
Turbinicarpus ysabelae,Turbinicarpus saueri
Tylophora belostemma,Belostemma hirsutum
Uapaca lissopyrena,Uapaca guineensis
Ulmus chumlia,Ulmus androssowii
Ulmus japonica,Ulmus davidiana
Ulmus lasiophylla,Ulmus bergmanniana
Ulmus propinqua,Ulmus davidiana
Ulmus wilsoniana,Ulmus davidiana
Uvaria dulcis,Anomianthus dulcis
Uvaria goeziana,Desmos goezeanus
Uvaria virens,Uvaria lucida
Valeriana candolleana,Valeriana scandens
Vernonia cainarachensis,Eirmocephala cainarachiensis
Vernonia pectiniformis,Gymnanthemum pectiniforme
Vernonia rubicunda,Vernonia hildebrandtii
Vernonia salvifolia,Vernonanthura brasiliana
Vernonia stuebelii,Vernonanthura patens
Vicia angustifolia,Vicia sativa
Vicia dalmatica,Vicia tenuifolia
Vigna brachycarpa,Vigna radiata
Vincetoxicum linifolium,Cynanchum linifolium
Viola cretica,Viola alba
Vitex pseudo-negundo,Vitex agnus-castus
Vitex rotundifolia,Vitex trifolia
Vitis ficifolia,Vitis heyneana
Voyria alba,Voyria corymbosa
Vriesea albo-rubrobracteata,Vriesea dubia
Watsonia bulbillifera,Watsonia meriana
Wedelia longipetiolata,Wedelia kerrii
Weinmannia tuerckheimii,Weinmannia balbisiana
Xanthium californicum,Xanthium orientale
Xanthium italicum,Xanthium orientale
Xerophyta andringitrensis,Xerophyta dasylirioides
Xerophyta brevifolia,Xerophyta dasylirioides
Xerophyta pectinata,Xerophyta dasylirioides
Xerophyta tulearensis,Xerophyta dasylirioides
Xiphopteris vilosissima,Melpomene pilosissima
Xylosma monospora,Xymalos monospora
Yulania mirifolia,Magnolia mirifolia
Yulania soulangeana,Magnolia soulangeana
Yulania viridula,Magnolia multiflora
Zanthoxylum dimorphophyllum,Fagara dimorphophylla
Zanthoxylum kellermanii,Zanthoxylum riedelianum
Zygophyllum stapffii,Tetraena stapfii
