Source,FullRef
eMonocot,eMonocot 1.0.2. eMonocot. (2015). at <http://e-monocot.org/>
POSA,South African National Biodiversity Institute. Plants of Southern Africa: An Online Checklist ver. 3.0. (2009). at <http://posa.sanbi.org/searchspp.php>
TRY,TRY. Plant trait database. (2014). at <https://www.try-db.org/TryWeb/Home.php>
eFlora_China,"Missouri Botanical Garden, St Louis, MO & Harvard University Herbaria, Cambridge, MA. eFloras. (2008). at <http://www.efloras.org>"
Catalogue_of_the_Vascular_Plants_of_Madagascar,"Missouri Botanical Garden, St. Louis, U.S.A & Antananarivo, M. Catalogue of the Vascular Plants of Madagascar. (2013). at <http://www.efloras.org/madagascar>"
WatsonDallwitz2014,"Watson, L. & Dallwitz, M. J. The families of flowering plants: descriptions, illustrations, identification, and information. (1992 onwards). at <delta-intkey.com>"
Stevens2001,"Stevens, P. F. Angiosperm Phylogeny Website Version 12, 2012. (2001 onwards). at <http://www.mobot.org/MOBOT/research/APweb/>"
floraBolivia,"Jørgensen, P. M., Nee, M. H. & Beck, S. G. Catálogo de las plantas vasculares de Bolivia, Monographs in systematic botany from the Missouri Botanical Garden. (Missouri Botanical Garden Press, 2014)."
Peru_Checklist,"Brako, Lois & Zarucchi, J. L. Catálogo de las angiospermas y gimnospermas del Perú. (Missouri Botanical Garden, 1993)."
Species_List_flora_of_Brazil,Rio de Janeiro Botanical Garden. List of Species of the Brazilian Flora. (2008). at <http://floradobrasil.jbrj.gov.br/>
PlantNET,"The Royal Botanic Gardens and Domain Trust. PlantNET - The Plant Information Network System of The Royal Botanic Gardens and Domain Trust, Sydney, Australia ver 2.0. (2011). at <http://plantnet.rbgsyd.nsw.gov.au>"
kew,"Royal Botanic Gardens, Kew. Electronic plant information centre (ePIC). (2002). at <http://epic.kew.org/epic/>"
Catalogue_of_the_Vascular_Plants_of_Ecuador,"Jørgensen, P. M. et al. Catálogo de las plantas vasculares del Ecuador. (Missouri Botanical Garden Press, 1999)."
The_PLANTS_Database,"USDA, NRCS & National Plant Data Team. The PLANTS Database. (2015). at <http://plants.usda.gov>"
Flora_of_Pakistan,Missouri Botanical Garden & University of Karachi. Flora of Pakistan. (2015). at <http://www.tropicos.org/Project/Pakistan>
http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/,Australian Biological Resources Study. Flora of Australia Online. (2007). at <http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/index.html>
Nickrent2010,"Nickrent, D. L., Malécot V., Vidal-Russell, R. & Der, J. P. A revised classification of santalales. Taxon 59, 538-558 (2010)."
keralaplants,"Sasidharan, N. Flowering Plants of Kerala ver. 2. (2011). at <http://keralaplants.in/index.html>"
Anderson2001,"Anderson, E. F. The cactus family. (Timber Press, 2001)."
PotterEtal2007,"Potter, D. et al. Phylogeny and classification of Rosaceae. Plant Syst. Evol. 266, 5-43 (2007)."
Bennett&Matthews2006,"Bennett, J. R. & Mathews, S. Phylogeny of the parasitic plant family Orobanchaceae inferred from phytochrome A. Am. J. Bot. 93, 1039–1051 (2006)."
http://www.flora.sa.gov.au/index.html,State Herbarium of South Australia. Electronic Flora of South Australia. (2007). at <http://www.flora.sa.gov.au/index.html>
Gallagher2012,"Gallagher, R. V. & Leishman, M. R. A global analysis of trait variation and evolution in climbing plants. J. Biogeogr. 39, 1757–1771 (2012)."
WCSP,"Royal Botanic Gardens, K. WCSP (World Checklist of Selected Plant Families). (2015). at <http://apps.kew.org/wcsp/>"
Wheeler2002,"Wheeler, J., Marchant, N., Lewington, M. & Graham, L. Flora of the South West : Bunbury - Augusta - Denmark. (University of Western Australia Press/Australian Biological Resources Study, 2002)."
Wikipedia.list.of.trees.and.shrubs,(n.d.). In Wikipedia. List of trees and shrubs by taxonomic family. (2015). at <https://en.wikipedia.org/wiki/List_of_trees_and_shrubs_by_taxonomic_family>
EggliEtal2005,"Eggli, U. Illustrated handbook of succulent plants. Crassulaceae. (Springer, 2005)."
Benzing2000,"Benzing, D. H. Bromeliaceae: Profile of an Adaptive Radiation. (Cambridge University Press, 2000)."
Gentry,"Gentry, A. H. & Missouri Botanical Garden. The Alwyn H. Gentry Forest Transect Data Set. (n.d.). at <http://www.mobot.org/mobot/research/gentry/welcome.shtml>"
United_States_National_Herbarium_Myanmar_Checklist_2003,"Kress, W. J., DeFillips, R. A., Farr, E. & Daw Yin Yin Kyi. A checklist of the trees, shrubs, herbs and climbers of Myanmar (revised from the original works by J. H. Lace and H. G. Hundley). Contrib. from United States Natl. Herb. 45, 1–590 (2003)."
Maslin2001,"Maslin, B. Wattle: Acacias of Australia. (Australian Biological Resources Study Canberra and Department of Conservation and Land Management Perth, 2001)."
http://ausgrass2.myspecies.info/,"Simon, B.K. & Alfonso, Y. AusGrass2. (2011). at <http://ausgrass2.myspecies.info/>"
PaulaEtal2009,"Paula, S. & Pausas, J. G. BROT: a plant trait database for Mediterranean Basin species. Version 2013.06. (2013). at <http://www.uv.es/jgpausas/brot.htm>"
Bongers2001,"Bongers, F. Nouragues : dynamics and plant-animal interactions in a neotropical rainforest. (Kluwer Academic, 2001)."
Tropicos,Missouri Botanical Garden. Tropicos. (2015). at <http://www.tropicos.org>
Florest_Climbing_Plants_of_West_Africa,"Bongers, F., Parren, M. P. E. & Traore, D. Forest climbing plants of West Africa: diversity, ecology, and management. (CABI Pub., 2005)."
Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia),"Missouri Botanical Garden. Catalogue of Vascular Plants of the Department of Antioquia, Colombia. (n.d.). at <http://www.tropicos.org/Project/CV>"
Paraguay_Checklist,Missouri Botanical Garden. Paraguay Checklist. (n.d.). at <http://www.tropicos.org/Project/Paraguay>
Miller2004,"Miller, A. G. Ethnoflora of the Soqotra Archipelago. (Royal Botanic Garden Edinburgh, 2004)."
Al-ShehbazEtal2006,"Al-Shehbaz, A. Beilstein, M. A. & Kellogg, E. A. Systematics and phylogeny of the Brassicaceae (Cruciferae): an overview. Plant Syst. Evol. 259, 89–120 (2006)."
CoxCox1997,"Cox, P. A. & Cox, K. N. E. The encyclopedia of Rhododendron species. (Glendoick, 1997)."
leda,"Kleyer, M. et al. The LEDA Traitbase: A database of life-history traits of the Northwest European flora. Journal of Ecology 96, 1266–1274 (2008)."
VASCAN,"Brouillet, L., F. Coursol, S.J. Meades, M. Favreau, M. Anions, P. B. & Desmet, P. VASCAN, the Database of Vascular Plants of Canada. (2010 onwards). at <http://data.canadensys.net/vascan/>"
Booker2006,"Booker, M. I. H. & Centre for Plant Biodiversity Research. EUCLID: Eucalypts of Australia. (CSIRO Publishing, 2006)."
Flora_of_Mesoamerica,"Missouri Botanical Garden, National Autonomous University of Mexico & Natural History Museum London. Flora Mesoamericana. (n.d.). at <http://www.tropicos.org/Project/FM>"
Agroforestree_Database,"Orwa, C., Mutua, A., Kindt, R., Jamnadass, R. & Anthony, S. Agroforestree Database: a tree reference and selection guide version 4.0. (2009). at <http://www.worldagroforestry.org/resources/databases/agroforestree>"
Couvreur2015,"Couvreur, T. L. P. et al. Global diversification of a tropical plant growth form: environmental correlates and historical contingencies in climbing palms. Front. Genet. 5, (2015)."
Guide_to_Trees_of_Papua_New_Guinea,"Conn, B. J. & Damas, K. Q. Guide to Trees of Papua New Guinea. (2006 onwards). at <http://www.pngplants.org/PNGtrees>"
FloraBase,Western Australian Herbarium. FloraBase—the Western Australian Flora ver. 2.9.5. (1998 onwards). at <https://florabase.dpaw.wa.gov.au/>
Flora_Malesiana,"Nooteboom, H. P. et al. Flora Malesiana. (n.d.). at <http://portal.cybertaxonomy.org/flora-malesiana/>"
Imhof2010,"Imhof, S. Mycoheterotrophic plants - How many of them are there? (2010 onwards). at <http://mhp.myspecies.info>"
Johansson1974,"Johansson, D. Ecology of vascular epiphytes in West African rain forest. Acto Phytogeogr. Suec. 59, 1–136 (1974)."
Trees_and_Shrubs_of_Iran,Central Herbarium of Tehran University College of Science. Trees and Shrubs of Iran. (n.d.). at <http://irantreeshrub.com/checklist/>
The_Plant_List,"The Plant List, Version 1.1. (2013). at <http://www.theplantlist.org/>"
Parasitic_Plant_Connection,"Nickrent, D. The Parasitic Plant Connection. (1997 onwards). at <http://www.parasiticplants.siu.edu/>"
Brock1993,"Brock, J. Native plants of Northern Australia. (Reed, 1993)."
stri,"Wright, J. Smithsonian Tropical Research Institute. (2004). at <http://www.stri.si.edu/sites/esp/tesp/plant_species.htm>"
Santos2009,"Santos, K. dos, Kinoshita, L. S. & Rezende, A. A. Species composition of climbers in seasonal semideciduous forest fragments of Southeastern Brazil. Biota Neotrop. 9, (2009)."
Flora_Palaestina,"Zohary, M., Feinbrum-Dotan, N. & Missouri Botanical Garden. Flora Palaestina. (2012). at <http://www.tropicos.org/Project/Palaestina>"
Vines_and_Climbing_Plants_of_Puerto_Rico_and_the_Virgin_Islands,"Acevedo-RodriÌĝuez, P. Vines and climbing plants of Puerto Rico and the Virgin Islands. Contrib. from United States Natl. Herb. 51, 1–483 (2005)."
KeppelTuiwawa2007,"Keppel, G. & Tuiwawa, M. V. Dry zone forests of Fiji: Species composition, life history traits, and conservation. New Zealand Journal of Botany 45, 545–563 (2007)."
Flora_of_North_America,Flora of North America Editorial Committee. Flora of North America. (1993 onwards). at <http://floranorthamerica.org/>
aquariumPlantList,"University of Florida, IFAS, Centre for Aquatic and Invasive Plants. List of Plants in the Aquatic Plant Identification Series. (2014). at <http://plants.ifas.ufl.edu/node/607>"
Chinnock2007,"Chinnock, R. J. Eremophila and allied genera : a monograph of the plant family Myoporaceae. (Rosenberg Publishing, 2007)."
EndressBruyns2000,"Endress, M. E. & Bruyns, P. V. A revised classification of the Apocynaceae s.l. The Botanical Review. 66, 1–56 (2000)."
Flora_of_Tasmania_online,"Duretto, M. F. (Ed.) Flora of Tasmania Online. (2009 onwards). at <www.tmag.tas.gov.au/floratasmania>"
Zotz2013,"Zotz, G. The systematic distribution of vascular epiphytes-a critical update. Bot. J. Linn. Soc. 171, 453–481 (2013)."
Solorzano2002,"Solórzano, S., Ibarra-Manríquez, G. & Oyama, K. Liana diversity and reproductive attributes in two tropical forests in Mexico. Biodivers. Conserv. 11, 197–212 (2002)."
Flora_of_Panama,Missouri Botanical Garden. Flora of Panama (WFO). (2012). at <http://www.tropicos.org/Project/FOPWFO>
Wagner2005,"Wagner, W. L., Herbst, D. R. & Lorence, D. H. Flora of the Hawaiian Islands website. (2005 onwards). at <http://botany.si.edu/pacificislandbiodiversity/hawaiianflora/index.htm>"
Inside_Wood,"Wheeler, E. A. InsideWood. (2004 onwards). at <http://insidewood.lib.ncsu.edu/search>"
Muthumperumal2009,"Muthumperumal, C. & Parthasarathy, N. Angiosperms, Climbing plants in tropical forests of southern Eastern Ghats, Tamil Nadu, India. Check List 5, 92–111 (2009)."
Plants_of_Saint_Lucia,"Graveson, R. Plants of Saint Lucia: A Pictorial Flora of Wild and Cultivated Vascular Plants. (2012). at <http://www.saintlucianplants.com/index.html>"
nzflora,"Breitwieser I., Brownsey P.J. Heenan P.B., Nelson W.A., W. A. D. Flora of New Zealand Online. (2010). at <www.nzflora.info>"
Parthasarathy2004,"Parthasarathy, N., Muthuramkumar, S. & Sridhar Reddy, M. Patterns of liana diversity in tropical evergreen forests of peninsular India. Forest Ecology and Management 190, 15–31 (2004)."
Renner1986,"Renner, S. S. The neotropical epiphytic Melastomataceae: phytogeographic patterns, fruit types, and floral biology. Selbyana 9, 104–111 (1986)."
Senbeta2005,"Senbeta, F. et al. The diversity and distribution of lianas in the Afromontane rain forests of Ethiopia. Divers. Distrib. 11, 443–452 (2005)."
HaberBawa1984,"Haber, W. A. & Bawa, K. S. Evolution of dioecy in Saurauia (Dilleniaceae). Ann. Missouri Bot. Gard. 71, 289–293 (1984)."
Flora_of_Israel_Online,"Danin, A. Flora of Israel Online. (2003 onwards). at <http://flora.org.il/en/plants/>"
Nabe-Nielsen2001,"Nabe-Nielsen, J. Diversity and distribution of lianas in a neotropical National Park, neotropical rain forest, Yasuní Ecuador. J. Trop. Ecol. 17, 1–19 (2001)."
DillonEtal2007,"Dillon, M. O. et al. Phylogeny of Nolana (Nolaneae, Solanoideae, Solanaceae) as inferred from granule-bound starch synthase I (GBSSI) sequences. Taxon 56, 1000–1011 (2007)."
cretanflora,"Samaritakis, F. & Zacharakis, Y. Cretan Flora. (2015). at <http://www.cretanflora.com/>"
ElGhani2011,"Abd El-Ghani, M., Abo El-Kheir, M., Abdel-Dayem, M. & Abd El-Hamid, M. Vegetation analysis and soil characteristics of five common desert climbing plants in Egypt. Turk. J. Botany 35, 561–580 (2011)."
Durgion2011,"Durigon, J. & Waechter, J. L. Floristic composition and biogeographic relations of a subtropical assemblage of climbing plants. Biodivers. Conserv. 20, 1027–1044 (2011)."
Berg2003,"Berg, C. C. Flora Malesiana precursor for the treatment of Moraceae 1: the main subdivision of Ficus. Blumea-Biodiversity, Evol. Biogeogr. Plants 48, 166–177 (2003)."
Stanley1989,"Stanley, T. D., Ross, E. M., Pedley, L., Henderson, R. J. F. & Reynolds, S. T. Flora of south-eastern Queensland (Vols. 1-3). (Queensland Department of Primary Industries, 1983-1989)."
grassBase,"Clayton, W.D., Vorontsova, M.S., Harman, K.T. and Williamson, H. GrassBase - The Online World Grass Flora. (2006 onwards). at <http://www.kew.org/data/grasses-db.html.>"
Kelly1985,"Kelly, D. L. Epiphytes and Climbers of a Jamaican Rain Forest: Vertical Distribution, Life Forms and Life Histories. J. Biogeogr. 12, 223–241 (1985)."
BidartondoBruns2001,"Bidartondo, M. I. & Bruns, T. D. Extreme specificity in epiparasitic Monotropoideae (Ericaceae): Widespread phylogenetic and geographical structure. Mol. Ecol. 10, 2285–2295 (2001)."
Penneys&Judd2011,"Penneys, D. S. & Judd, W. S. Phylogenetics and Morphology in the Blakeeae (Melastomataceae). International Journal of Plant Sciences 172, 78-106 (2011)."
Githae2008,"Githae, E. W., Chuah-Petiot, M., Mworia, J. K. & Odee, D. W. A botanical inventory and diversity assessment of Mt. Marsabit forest, a sub-humid montane forest in the arid lands of northern Kenya. Afr. J. Ecol. 46, 39–45 (2008)."
MoodyLes2007,"Moody, M. L. & Les, D. H. Phylogenetic systematics and character evolution in the angiosperm family haloragaceae. Am. J. Bot. 94, 2005–2025 (2007)."
Dewalt2000,"Dewalt, S. J., Schnitzer, S. A. & Denslow, J. S. Density and diversity of lianas along a chronosequence in a central Panamanian lowland forest. Journal of Tropical Ecology 16, 1–19 (2000)."
Addo-Fordjour2008,"Addo-Fordjour, P., Rahmad, Z. B. & Shahrul, A. M. S. Impacts of forest management on community assemblage and carbon stock of lianas in a tropical lowland forest, Malaysia. Trop Conserv Sci 7, 244–259 (2014)."
Hearn2009,"Hearn, D. J. Descriptive Anatomy and Evolutionary Patterns of Anatomical Diversification in Adenia (Passifloraceae). Aliso A J. Syst. Evol. Bot. 27, 13–28 (2009)."
Uddin2010,"Uddin, M. Z. & Hassa, A. Angiosperm diversity of Lawachara National Park (Bangladesh): a preliminary assessment. Bangladesh. J. Plant Taxon. 12, 9–22 (2010)."
CornwellAckerly2009,"Cornwell, W. K. & Ackerly, D. D. Community assembly and shifts in plant trait distributions across an environmental gradient in coastal California. Ecol. Monogr. 79, 109–126 (2009)."
Corner1967,"Corner, E. J. H. Ficus in the Solomon Islands and its bearing on the post-Jurassic history of Melanesia. Philos. Trans. R. Soc. B Biol. Sci. 253, 23–159 (1967)."
Hufford1997,"Hufford, L. A phylogenetic analysis of Hydrangeaceae based on morphological data. Int. J. Plant Sci. 158, 652–672 (1997)."
Mascaro2004,"Mascaro, J., Schnitzer, S. A. & Carson, W. P. Liana diversity, abundance, and mortality in a tropical wet forest in Costa Rica. in Forest Ecology and Management 190, 3–14 (2004)."
Ponnuchamy2013,"Ponnuchamy, R. et al. A floristic study on herbs and climbing plants at Puducherry, South India: An approach to biodiversity conservation and regeneration through eco-restoration. Check List 9, 555–600 (2013)."
Muoghalu2005,"Muoghalu, J. I. & Okeesan, O. O. Climber species composition, abundance and relationship with trees in a Nigerian secondary forest. in African Journal of Ecology 43, 258–266 (2005)."
Chettri2010,"Chettri, A., Barik, S. K., Pandey, H. N. & Lyngdoh, M. K. Liana diversity and abundance as related to microenvironment in three forest types located in different elevational ranges of the Eastern Himalayas. Plant Ecol. Divers. 3, 175–185 (2010)."
AddoFordjourRahmad2014,"Addo-Fordjour, P., Anning, A. K., Atakora, E. A. & Agyei, P. S. Diversity and distribution of climbing plants in a semi-deciduous rain forest, KNUST Botanic Garden, Ghana. Int. J. Bot. 4, 186–195 (2008)."
Killeen1998,"Killeen, T. J., Jardim, A., Mamani, F. & Rojas, N. Diversity, composition and structure of a tropical semideciduous forest in the Chiquitanía region of Santa Cruz, Bolivia. Journal of Tropical Ecology 14, 803–827 (1998)."
KnappEtal1997,"Knapp, S., Persson, V. & Blackmore, S. A phylogenetic conspectus of the tribe Juanulloeae (Solanaceae). Ann. Missouri Bot. Gard. 84, 67–89 (1997)."
Reddy2003,"Reddy, M. S. & Parthasarathy, N. Liana diversity and distribution in four tropical dry evergreen forests on the Coromandel coast of south India. Biodivers. Conserv. 12, 1609–1627 (2003)."
Yuan2009,"Yuan, C. ming, Liu, W. yao, Tang, C. Q. & Li, X. shuang. Species composition, diversity, and abundance of lianas in different secondary and primary forests in a subtropical mountainous area, SW China. Ecol. Res. 24, 1361–1370 (2009)."
Lu2008,"Lü, X. T., Tang, J. W., Feng, Z. L. & Li, M. H. Diversity and aboveground biomass of lianas in the tropical seasonal rain forests of Xishuangbanna, SW China. Rev. Biol. Trop. 57, 211–222 (2009)."
Soares2013,"Soares, M. L., Mayo, S. J. & Gribel, R. A Preliminary Taxonomic Revision of Heteropsis (Araceae). Syst. Bot. 38, 925–974 (2013)."
gallagherAddendum,?
Filipowicz2010,"Filipowicz, N. & Renner, S. S. The worldwide holoparasitic Apodanthaceae confidently placed in the Cucurbitales by nuclear and mitochondrial gene trees. BMC Evol. Biol. 10, 219 (2010)."
Han2010,"Han, L., Xie, L. J., Dai, K. J., Yang, Q. & Cai, Z. Q. Contrasting leaf characteristics of trees and lianas in secondary and mature forests in southwestern China. Photosynthetica 48, 559–566 (2010)."
Rintz1980,"Rintz, R. E. The peninsular Malayan species of Dischidia (Asclepiadaceae). Blumea-Biodiversity, Evol. Biogeogr. Plants 26, 81–126"
SurveswaranEtal2009,"Surveswaran, S., Kamble, M. Y., Yadav, S. R. & Sun, M. Molecular phylogeny of Ceropegia (Asclepiadoideae, Apocynaceae) from Indian Western Ghats. Plant Syst. Evol. 281, 51–63 (2009)."
DavisEtal2007,"Davis, C. C., Latvis, M., Nickrent, D. L., Wurdack, K. J. & Baum, D. A. Floral gigantism in Rafflesiaceae. Science 315, 1812 (2007)."
Dawson1988,"Dawson, J. W. Forest Vines to Snow Tussocks: the Story of New Zealand Plants. (Victoria University Press, 1988)."
HarrisonEtal2003,"Harrison, R. D. et al. The diversity of hemi-epiphytic figs (Ficus; Moraceae) in a Bornean lowland rain forest. Biol. J. Linn. Soc. 78, 439–455 (2003)."
Ding2014,"Ding, L., Chen, Y. & Zhang, J. Leaf Traits and Their Associations among Liana Species in Tropical Rainforest. Plant Sci. J. 2, 362–370 (2014)."
Cacti_Guide,"Freeman, D. Cacti Guide. (2002). at <http://cactiguide.com/>"
Krings2000,"Krings, A. Floristics and ecology of Mesoamerican montane climber communities: Monteverde, Costa Rica. Selbyana 21, 156–164 (2000)"
Flora_of_Papua_New_Guinea,"Conn, B. J. in Handbooks of the Flora of Papua New Guinea Volume 3 (ed. Conn, B. J.) 132–189 (Melbourne University Press, 1995)."
Hovenkamp&Miyamoto2005,"Hovenkamp, P. H. & Miyamoto, F. A conspectus of the native and naturalized species of Nephrolepis (Nephrolepidaceae) in the world. Blumea-Biodiversity, Evol. Biogeogr. Plants 50, 279–322 (2005)."
ChristenhuszEtal2008,"Christenhusz, M. J. M., Tuomisto, H., Metzgar, J. S. & Pryer, K. M. Evolutionary relationships within the Neotropical, eusporangiate fern genus Danaea (Marattiaceae). Mol. Phylogenet. Evol. 46, 34–48 (2008)."
Michaloud&Michaloud-Pelletier1987,"Michaloud, G. & Michaloud-Pelletier, S. Ficus Hemi-Epiphytes (Moraceae) et Arbres Supports. Biotropica 19, 125–136 (1987)."
Affolter1985,"Affolter, J. M. A monograph of the genus Lilaeopsis (Umbelliferae). Syst. Bot. Monogr. 6, 1–140 (1985)."
Burkill1966,"Burkill, I. H. A dictionary of the economic products of the Malay Peninsula. (Ministry of Agriculture & Co-operatives, 1966)."
SchultheisBaldwin1999,"Schultheis, L. M. & Baldwin, B. G. Molecular phylogenetics of Fouquieriaceae: Evidence from nuclear rDNA ITS studies. Am. J. Bot. 86, 578–589 (1999)."
Australian_Tropical_Rainforest_Plants,"West, J. et al. Australian Tropical Rainforest Plants Edition 6. CSIRO & Centre for Australian National Biodiversity Research (2010). at <http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/index.html>"
Christenhusz2010,"Christenhusz, M. J. M. Danaea (Marattiaceae) revisited: Biodiversity, a new classification and ten new species of a neotropical fern genus. Bot. J. Linn. Soc. 163, 360–385 (2010)."
Todzia1986,"Todzia, C. Growth Habits, Host Tree Species, and Density of Hemiepiphytes on Barro Colorado Island, Panama. Biotropica 18, 22–27 (1986)."
Airy_ShawForman1967,"Airy Shaw, H. K. & Forman, L. L. The Genus Spondias L. (Anacardiaceae) in Tropical Asia. Kew Bull. 21, 1–19 (1967)."
MolinaFreaner1997,"Molina-Freaner, F. & Tinoco-Ojanguren, C. Vines of a Desert Plant Community in Central Sonora, Mexico. Biotropica 29, 46–56 (1997)."
PROTA,World Agroforestry Centre (ICRAF) & Wageningen University (WU). PROTA4U. (2009). at <http://www.prota4u.info/search.asp>
Goulding2002,"Goulding, E. Fuchsias: The Complete Guide. (B. T. Batsford, 2002)."
KorineEtal2000,"Korine, C., Kalko, E. K. V. & Herre, E. A. Fruit characteristics and factors affecting fruit removal in a Panamanian community of strangler figs. Oecologia 123, 560–568 (2000)."
Putz&Holbrook1986,"Putz, F. E. & Holbrook, N. M. Notes on the natural history of hemiepiphytes. Selbyana 9, 61–69 (1986)."
BeekEtal1984,"Van Beek, T. A., Verpoorte, R., Svendsen, A. B., Leeuwenberg, A. J. & Bisset, N. G. Tabernaemontana L. (Apocynaceae): a review of its taxonomy, phytochemistry, ethnobotany and pharmacology. J. Ethnopharmacol. 10, 1–156 (1984)."
Dixon2003,"Dixon, D. J. A taxonomic revision of the Australian Ficus species in the section Malvanthera (Ficus subg. Urostigma: Moraceae). Telopea 10, 125–153 (2003)."
Jepson,"Jepson Herbarium & University of California. The University and Jepson Herbaria. University of California, Berkeley (2014)."
Tadesse1993,"Tadesse, M. Two New Taxa of Solanecio (Compositae : Senecioneae) from Ethiopia. Kew Bull. 49, 137–141 (1993)."
wikipedia_strangler_fig,(n.d.). In Wikipedia. Strangler fig. (2015). at <https://en.wikipedia.org/wiki/Strangler_fig>
Fischer1997,"Fischer, E. Contributions to the Flora of Central Africa V: two new species of Impatiens (Balsaminaceae) from Eastern Zaïre. Bull. du Jard. Bot. Natl. Belgique 66, 63–71 (1997)."
Specht2006,"Specht, C. D. Systematics and Evolution of the Tropical Monocot Family Costaceae (Zingiberales): A Multiple Dataset Approach. Systematic Botany 31, 89–106 (2006)."
Panama_Checklist,"D’Arcy, W. G. & Missouri Botanical Garden. Flora of Panama: checklist and index. (n.d.). at <http://www.tropicos.org/Project/PAC>"
JanssensEtal2010,"Janssens, S. B., Fischer, E. & Stévart, T. New insights into the origin of two new epiphytic Impatiens species (Balsaminaceae) from west central Africa based on molecular phylogenetic analyses. Taxon 59, 1508–1518 (2010)."
CheekCsiba2002,"Cheek, M. & Csiba, L. A new epiphytic species of Impatiens (Balsaminaceae) from western Cameroon. Kew Bull. 57, 669–674 (2002)."
CheekFischer199,"Cheek, M. & Fischer, E. A tuberous and epiphytic new species of Impatiens (Balsaminaceae) from southwest Cameroon. Kew Bull. 54, 471–475 (1999)."
DerroireEtal2007,"Derroire, G., Schmitt, L., Rivière, J.-N., Sarrailh, J.-M. & Tassin, J. The essential role of tree-fern trunks in the regeneration of Weinmannia tinctoria in rain forest on Réunion, Mascarene Archipelago. Journal of Tropical Ecology 23, 487 (2007)."
Feild&Brodribb2005,"Feild, T. S. & Brodribb, T. J. A unique mode of parasitism in the conifer coral tree Parasitaxus ustus (Podocarpaceae). Plant, Cell Environ. 28, 1316–1325 (2005)."
Fischer2004,"Fischer, E. & Rahelivololona, M. E. A new epiphytic species of Impatiens (Balsaminaceae) from the Comoro Islands. Adansonia 25, 93–95 (2004)."
JSTOR_Global_Plants,Global Plants Initiative. Global Plants. JSTOR (n.d.). at <https://plants.jstor.org/stable/10.5555/al.ap.specimen.k000669867>
Manual_de_Plantas_de_Costa_Rica,"Herrera & Zamora, N. Manual de Plantas de Costa Rica. Vol. III. Monocotiledóneas (Orchidaceae-Zingiberaceae). Monogr. Syst. Bot. Missouri Bot. Gard. 93, 1–884 (2003)."
Flora_de_Nicaragua,Missouri Botanical Garden. Flora de Nicaragua. (n.d.). at <http://www.tropicos.org/Project/FN>
Mori&Kallunki1977,"Mori, S. A. & Kallunki, J. A. A Revision of the Genus Phyllonoma (Grossulariaceae). Brittonia 29, 69 (1977)."
Sano1998,"Sano, P. T. Flora da serra do cipo, Minas Gerais: Paepalanthus Sect. Actinocephalus Koern. Bol. Botânica da Univ. São Paulo 17, 187–205 (1998)."
Silverstone-Sopkin&Graham1986,"Silverstone-Sopkin, P. A. & Graham, S. A. Alzateaceae, a plant family new to Colombia. Brittonia 38, 340–343 (1986)."
SobralRossi2003,"Sobral, M. & Rossi, L. Mostuea muricata (Gelsemiaceae), a new species from Brazil. Novon 13, 325–328 (2003)."
WilliamsEtal2003,"Williams, K. J., Kress, W. J. & Htun, T. A Striking new epiphyteic Hedychium (Zingiberaceae) from Myanmar with a discussion on soma anomalous related genera. Edinburgh Journal of Botany 60, 43–48 (2003)"
StruweEtal2014,"Struwe, Lena, et al. Gelsemiaceae (Gentianales) expanded to include the enigmatic Asian genus Pteleocarpa. Botanical journal of the Linnean Society 175.4 (2014): 482-496."
Rueangsawang2014,"Rueangsawang, Kanokorn, and Pranom Chantaranothai. Studies on Thai Pteleocarpaceae. Tropical Natural History 14.1 (2014): 1-6."
